Entity,Code,Year,Number of peacekeeping missions
World,OWID_WRL,1947,0
World,OWID_WRL,1948,1
World,OWID_WRL,1949,2
World,OWID_WRL,1950,2
World,OWID_WRL,1951,2
World,OWID_WRL,1952,2
World,OWID_WRL,1953,2
World,OWID_WRL,1954,2
World,OWID_WRL,1955,2
World,OWID_WRL,1956,3
World,OWID_WRL,1957,3
World,OWID_WRL,1958,4
World,OWID_WRL,1959,3
World,OWID_WRL,1960,4
World,OWID_WRL,1961,4
World,OWID_WRL,1962,5
World,OWID_WRL,1963,6
World,OWID_WRL,1964,6
World,OWID_WRL,1965,6
World,OWID_WRL,1966,6
World,OWID_WRL,1967,4
World,OWID_WRL,1968,3
World,OWID_WRL,1969,3
World,OWID_WRL,1970,3
World,OWID_WRL,1971,3
World,OWID_WRL,1972,3
World,OWID_WRL,1973,4
World,OWID_WRL,1974,5
World,OWID_WRL,1975,5
World,OWID_WRL,1976,5
World,OWID_WRL,1977,5
World,OWID_WRL,1978,6
World,OWID_WRL,1979,6
World,OWID_WRL,1980,5
World,OWID_WRL,1981,5
World,OWID_WRL,1982,5
World,OWID_WRL,1983,5
World,OWID_WRL,1984,5
World,OWID_WRL,1985,5
World,OWID_WRL,1986,5
World,OWID_WRL,1987,5
World,OWID_WRL,1988,7
World,OWID_WRL,1989,10
World,OWID_WRL,1990,10
World,OWID_WRL,1991,14
World,OWID_WRL,1992,16
World,OWID_WRL,1993,19
World,OWID_WRL,1994,19
World,OWID_WRL,1995,20
World,OWID_WRL,1996,19
World,OWID_WRL,1997,20
World,OWID_WRL,1998,18
World,OWID_WRL,1999,20
World,OWID_WRL,2000,18
World,OWID_WRL,2001,15
World,OWID_WRL,2002,16
World,OWID_WRL,2003,14
World,OWID_WRL,2004,16
World,OWID_WRL,2005,17
World,OWID_WRL,2006,16
World,OWID_WRL,2007,17
World,OWID_WRL,2008,17
World,OWID_WRL,2009,16
World,OWID_WRL,2010,16
World,OWID_WRL,2011,16
World,OWID_WRL,2012,16
World,OWID_WRL,2013,15
World,OWID_WRL,2014,16
