DATE,XUDLBK67
02 Jan 1990,90.7445
03 Jan 1990,90.9773
04 Jan 1990,90.7776
05 Jan 1990,91.1766
08 Jan 1990,91.5705
09 Jan 1990,92.1006
10 Jan 1990,92.4177
11 Jan 1990,92.2114
12 Jan 1990,92.6
15 Jan 1990,92.7368
16 Jan 1990,92.4029
17 Jan 1990,91.9366
18 Jan 1990,92.2471
19 Jan 1990,92.2508
22 Jan 1990,92.4266
23 Jan 1990,92.1627
24 Jan 1990,92.128
25 Jan 1990,92.1974
26 Jan 1990,92.2778
29 Jan 1990,93.0088
30 Jan 1990,93.3652
31 Jan 1990,93.4727
01 Feb 1990,93.4083
02 Feb 1990,93.5285
05 Feb 1990,93.6996
06 Feb 1990,93.7399
07 Feb 1990,93.5848
08 Feb 1990,93.5008
09 Feb 1990,93.8459
12 Feb 1990,93.8837
13 Feb 1990,93.7909
14 Feb 1990,93.9774
15 Feb 1990,94.1022
16 Feb 1990,94.0547
19 Feb 1990,94.3778
20 Feb 1990,94.4541
21 Feb 1990,94.7222
22 Feb 1990,94.7599
23 Feb 1990,94.7878
26 Feb 1990,94.4044
27 Feb 1990,94.1881
28 Feb 1990,94.4273
01 Mar 1990,93.72
02 Mar 1990,93.0738
05 Mar 1990,91.9062
06 Mar 1990,92.4643
07 Mar 1990,92.1384
08 Mar 1990,92.1451
09 Mar 1990,90.9399
12 Mar 1990,90.7166
13 Mar 1990,90.4541
14 Mar 1990,90.7857
15 Mar 1990,90.9332
16 Mar 1990,91.0403
19 Mar 1990,90.0875
20 Mar 1990,90.4293
21 Mar 1990,89.7741
22 Mar 1990,90.0936
23 Mar 1990,90.3593
26 Mar 1990,91.1316
27 Mar 1990,91.6631
28 Mar 1990,91.8976
29 Mar 1990,91.661
30 Mar 1990,92.2266
02 Apr 1990,91.8497
03 Apr 1990,91.9322
04 Apr 1990,92.272
05 Apr 1990,92.1918
06 Apr 1990,91.8975
09 Apr 1990,91.7434
10 Apr 1990,91.515
11 Apr 1990,91.4881
12 Apr 1990,91.3568
17 Apr 1990,91.1485
18 Apr 1990,91.0853
19 Apr 1990,91.4702
20 Apr 1990,91.4512
23 Apr 1990,91.7176
24 Apr 1990,91.5624
25 Apr 1990,91.3171
26 Apr 1990,91.0964
27 Apr 1990,91.0838
30 Apr 1990,91.2955
01 May 1990,91.4105
02 May 1990,91.6209
03 May 1990,91.5334
04 May 1990,92.1075
08 May 1990,92.2125
09 May 1990,91.9966
10 May 1990,91.9052
11 May 1990,91.8034
14 May 1990,92.1441
15 May 1990,92.0022
16 May 1990,91.9588
17 May 1990,92.7207
18 May 1990,92.8348
21 May 1990,93.378
22 May 1990,93.5159
23 May 1990,93.7048
24 May 1990,93.7085
25 May 1990,93.7438
29 May 1990,93.7194
30 May 1990,93.9384
31 May 1990,93.7264
01 Jun 1990,93.8593
04 Jun 1990,93.4537
05 Jun 1990,93.831
06 Jun 1990,93.9406
07 Jun 1990,94.1529
08 Jun 1990,94.1283
11 Jun 1990,94.0644
12 Jun 1990,95.0051
13 Jun 1990,95.2812
14 Jun 1990,95.1958
15 Jun 1990,95.2327
18 Jun 1990,94.9678
19 Jun 1990,95.1137
20 Jun 1990,95.5439
21 Jun 1990,95.7174
22 Jun 1990,95.9367
25 Jun 1990,95.9367
26 Jun 1990,96.0197
27 Jun 1990,96.1251
28 Jun 1990,96.0626
29 Jun 1990,96.1682
02 Jul 1990,96.8162
03 Jul 1990,97.4224
04 Jul 1990,97.5009
05 Jul 1990,97.4541
06 Jul 1990,97.9324
09 Jul 1990,98.7497
10 Jul 1990,99.0901
11 Jul 1990,98.3048
12 Jul 1990,98.4046
13 Jul 1990,98.4036
16 Jul 1990,98.7131
17 Jul 1990,98.9151
18 Jul 1990,99.2334
19 Jul 1990,98.9993
20 Jul 1990,98.9095
23 Jul 1990,98.7287
24 Jul 1990,98.5976
25 Jul 1990,97.8847
