"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1981","27596","229465316","12.03"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1982","28242","231664211","12.19"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1983","28295","233792237","12.1"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1984","29286","235825040","12.42"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1985","29453","237924038","12.38"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1986","30904","240133048","12.87"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1987","30796","242289046","12.71"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1988","30407","244499040","12.44"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1989","30232","246819195","12.25"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1990","30906","249464396","12.39"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1991","30810","252980942","12.18"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1992","30484","256514231","11.88"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1993","31102","259918595","11.97"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1994","31142","263125826","11.84"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1995","31284","266278403","11.75"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1996","30903","269394291","11.47"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1997","30535","272646932","11.2"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","1998","30575","275854116","11.08"
"Both Sexes","All Races","United States","Both","All Ages","1981","1998","Suicide","","542952","4508588903","12.04"
